parameter,PRCC_E_V,p_E_V,PRCC_false_R5,p_false_R5
t_half_A,0.08822121215584032,0.3359300634493342,0.14556519617476024,0.11113905912734819
T_A,-0.2852014420962096,0.001520327012840847,-0.08800230862280145,0.33713520591538926
tau_B,0.0964720225616287,0.2925085112913336,-0.9802172843833581,1.4295901579464605e-85
k_intC,0.17592179976315608,0.05359021035115043,0.8540240281949395,1.439023140812329e-35
k_synC,0.11835437569229533,0.1960339148525026,0.09682432099448385,0.2907413331145947
eta,0.5199204333684242,9.87613421529984e-10,-0.057521039093560315,0.5308671435534981
f_E,0.12045076424029935,0.18817330145849015,-0.029138802118776397,0.7510409128995924
k_rec0_R4,-0.03454348356779397,0.7068080336802953,-0.0987796617482702,0.2810621565421118
