t_half_A,T_A,tau_B,k_intC,k_synC,eta,f_E,k_rec0_R4,E_V,false_R5,peak_V,auc_V
0.5473839331700153,0.5561378269737103,2.6362726274824886,329.89046919293526,16.92955572967945,4.948087264083235e-05,0.7760788171098724,18.737116115452434,0.6818335799099899,0.778610061545086,6175652.844185697,84993378.80945417
0.2674149472922179,0.13203030691011203,1.2127578499385019,238.0489828673941,23.424373487403557,2.5648284833951985e-07,0.31269071489177436,8.701837447367877,-0.0006953056253862222,0.7910867350076045,53523389.061391264,267320715.86882946
0.3857711948575052,0.30134114400012013,1.9819576590416763,25.197975604412747,12.763664462478426,1.8115559409993631e-06,0.9599707735946855,12.642314978857854,-0.0235860649602897,0.7748845496922216,17666822.854222804,273435638.3011158
0.12681742841239854,0.24508588145023513,1.1758550902422091,356.31914761069845,17.499538746898523,2.5090736393020633e-05,0.9472084642793875,25.26788328893593,0.8949460439172743,0.7929285376735173,1027141.8680236924,28063585.97568453
0.14670792457501167,0.6405380774342362,2.0349951550420524,195.48097518565595,2.71110227275802,4.934642496821582e-07,0.4522249754703006,8.503973795999526,-1.4023640825255868e-05,0.7808272436150153,57845899.94180376,267138721.6226563
1.215794303025009,0.7884124925566591,2.3769514768765716,264.29889294864415,7.452372756433058,4.962469535329267e-06,0.7481489610424484,23.05712212407978,-0.024194513142847374,0.7787962683431127,27822245.525675938,273598176.09135306
0.15973630617502405,0.7955231344323606,2.866187801352687,243.20618388514973,20.555625732028805,4.5410507308724593e-07,0.16101748644621228,6.730159598633092,1.892700756045418e-05,0.7749709646285972,57909687.139861465,267129919.35194203
1.4158989657245107,0.39192217251194306,1.156112480346326,370.92496502998887,3.463936265026984,1.8676359851549267e-06,0.49740549511236654,15.03184233760961,-0.006069343761323509,0.7929558232468278,46615010.43067888,268756309.414159
0.005901548848141868,0.1971384157021805,2.7983757453208264,115.34300658421641,18.477414051309278,1.3622129041068544e-07,0.278082043317336,6.393661523988823,5.139074210813721e-05,0.7738084197347822,57813596.356092274,267121247.15308216
0.009517105336606038,0.7211588464302382,2.3305439282572733,71.89716559950308,1.2996427719382442,5.408692300845095e-06,0.6744736781810773,13.390141007674965,-0.014994228819188438,0.7733907215845097,31587932.005147155,271140458.36470425
0.006494366746081664,0.29440615797960734,2.7627360444943543,280.4109167703155,23.556587391885664,2.4447353558321117e-07,0.3060562414988652,6.620654025868593,2.2064245467579013e-05,0.7775016815521303,57770707.434429646,267129081.28602737
0.0327791678418121,0.5457612666581863,1.7054431844974673,101.65036108977023,16.542214844411504,2.744028020295023e-06,0.6167241051481289,13.622192423753788,-0.0127022804773953,0.7821724776632303,35071057.058789946,270528198.8007549
0.004547645914542826,0.11498284941058272,2.4767231253829993,170.77562105653678,20.705574669727564,3.0005483664719415e-05,0.5129800504022034,9.052693399891698,0.48984610456157696,0.7777962423153519,20104690.788005825,136279948.31715548
0.011300693206995064,0.27650630518469616,0.21877755246168407,351.34638620791094,9.758534419735394,5.208362784378223e-07,0.3640039742091713,9.249338631050298,-0.0003553514733027896,0.8075676149532794,55713692.675055355,267229902.22476673
0.042237191790986686,0.38846663608040505,2.983327658575758,388.43871834566994,12.067474687689327,6.6326037123690605e-06,0.798871616552821,7.027027772899768,0.3124548392091979,0.7769932499995408,11299944.578856453,183667359.62640268
1.8132738354682931,0.48361385399497625,1.4323597880145795,44.32088026539741,19.596958086682875,3.494679981879885e-07,0.19058058560001032,25.85738297184095,1.2476938825556338e-05,0.7823190636597573,57910762.87139413,267131642.3909639
0.0984362163442169,0.74097470592636,0.3422334675010709,186.8239918572787,39.45689380573906,4.500229729304811e-06,0.3022204937776288,18.276325048001326,-0.0041165056748584394,0.802271365401312,49061171.955445625,268234638.05997008
0.2021097630033551,0.60334066602989,0.7048291613534319,11.505614366768068,30.03899133273749,9.483243223884615e-07,0.3549566134643408,6.33281736224957,-5.459256146189695e-05,0.7874803259775097,57587817.05670122,267149559.00030628
0.030488353858427228,0.24094436499862742,0.989970619400321,82.24266895367961,37.699840229583124,6.871383644923282e-07,0.386783354173556,11.589562304232935,-0.0018788968475846879,0.7903041621865843,50942658.98750853,267636894.48086873
0.003832807187162139,0.440725368812662,1.9536915885848778,380.65711717727817,31.79575829497452,2.1841777549598488e-07,0.292008188577878,5.921189225704367,-2.7057318348067128e-06,0.7851315572559159,57885972.623718925,267135698.2132718
0.015602485422049134,0.6506992451000247,2.405426557437595,292.77025151444633,8.010652792461293,3.4335576288605556e-05,0.20899070976247014,6.947624005668817,0.0075997620851719905,0.7795133650550142,44763109.568574935,265104813.15977305
0.03891907367413896,0.3791185336013819,2.0444404968290204,165.99676881621724,22.833765448057232,3.171177734133455e-05,0.8301348176715628,22.469111409387317,0.7350538242370126,0.7811857310421843,4142866.4304764466,70776390.14945577
0.010682440186226626,0.7558501817731732,2.7657668147920633,162.67968571803698,10.176000291127021,1.210143220131267e-07,0.12825013295584303,24.976863272905568,5.0836956141386835e-06,0.7740624916089229,57912973.76902221,267133617.38479334
0.014010476818626444,0.7733820172781007,2.7009475616212697,110.49649215196831,16.814654934067246,2.395768700727554e-05,0.17222401276696106,10.987403349564476,-0.00926403198418324,0.7731407170062525,48990606.65297538,269609722.3740403
0.11175113317947195,0.6306004515016173,0.6328536926058452,152.73367307967519,6.449070726818899,7.4149694779758e-07,0.7405777695448287,19.568610394521432,-0.0004451999578249932,0.7963530107018382,55460488.77908417,267253903.89755577
0.08066778564043735,0.21323035649170974,1.2703886360306544,202.44902790120253,4.513243238345235,3.586719397198802e-06,0.9839364919315493,16.209515553754304,0.4581432494070361,0.7894293330314913,5407991.833151807,144748889.74955237
0.06114418455268683,0.1699236749370689,1.7578092780050723,79.39523171029515,35.03046433811531,7.117184963844291e-06,0.8665943549516789,11.699581046279878,0.6971948824216019,0.7815610089909011,4186648.060830335,80889837.64067715
0.2560871416089748,0.15121224356846624,0.6783916269832347,360.13056285133723,0.09478524933625956,7.101586390203416e-05,0.22032330197663533,9.947683800776973,0.19115529999326886,0.7990299205704684,41476261.5797966,216070709.0530744
0.07790738856642808,0.5950215359392,0.8675200977159808,17.553205475722976,5.015418775930599,1.7128188214956867e-05,0.6527468112719761,23.35574269985942,0.15198657537310623,0.7847422059724241,19386338.484181818,226534045.34151208
0.8193045736045986,0.6657853756870873,0.5713108063238532,192.22203160539215,27.090200880099626,6.031518139514284e-06,0.7097403997280636,20.776354815961106,-0.01815589581632837,0.7984670114561879,22345135.369310647,271985050.2002661
0.017923235059732708,0.471372030131007,0.43191068096292184,155.46103743023997,18.809608679609934,6.126850283128316e-06,0.5440726235877339,6.262504622099701,-0.020259176428147008,0.8004224700148146,28104839.776659057,272546910.0147662
0.22577928107239467,0.3711232077324265,0.6803591355146454,159.38157778112256,22.482595034502452,8.444367423882514e-07,0.4487154340703313,11.495712284003744,-0.0011461685537754729,0.7966139566468682,52850935.08114792,267441157.12610552
0.9128618266458127,0.7484124322574228,0.8981972152784983,297.59513435960645,10.33425880355364,3.3536698172328236e-07,0.9079126781111896,8.07035565697559,-2.4039595362790322e-05,0.7947116480265844,57797631.43675183,267141397.2344489
0.3489329678784388,0.2535719956034446,2.5995383343278773,56.52053624348893,34.29529505783948,1.286009101853742e-06,0.11348524538718252,7.0713400123342645,-5.187671350537215e-05,0.7730449789675431,57613989.8116248,267148833.5023102
1.0986284984267416,0.7165338519181342,1.8679018544334622,247.61738210890468,38.509747430448144,5.564041894690945e-07,0.400902186544673,14.926792619400809,1.1023216656913526e-05,0.78366646442561,57882411.084277846,267132030.73098886
1.921307480698019,0.3501122327384783,0.7335492489360571,104.03300148963844,8.931352166487713,7.374474316681521e-05,0.13890015978587095,14.209994631196885,0.06639293094036358,0.7940110316043557,48535112.08401536,249399101.44301334
0.023016287892811557,0.10641540785945802,0.8357109926589287,198.74119252482345,34.376971795487925,4.7029365219395e-06,0.17770482608726776,9.333602331881766,0.06721650945668411,0.795395056199312,45972947.52020027,249179094.81638867
0.4923875756142781,0.08929571877896426,1.3672327639808968,220.9695050859922,3.1451827459482713,2.068538278422549e-07,0.19197757057001752,26.181609820093264,0.00023572596161891557,0.7886371569981309,56400462.23825415,267072004.76873043
0.0702614181895563,0.5794398339201635,0.6128283635521035,382.2602568024471,15.3921029272065,7.913740344945712e-05,0.7946760908062696,11.312077353994342,0.7500001632340079,0.8004309419292849,4464024.939618586,66783700.24889242
0.7103019354469784,0.35790906540059475,1.2471504212953426,334.36616047963275,9.49333131157201,5.313347864839487e-05,0.5168637216770937,14.694247953111763,0.44726767179439564,0.7916564710092614,20682525.197944134,147654136.90777627
1.716472845707325,0.34596347913677955,0.5872230727388632,156.72401622753029,33.44782761030983,3.059370171315142e-06,0.7172228698825048,15.326389619965287,-0.004335519260188825,0.7981672911790472,23560660.427726775,268293144.2486119
1.7512888658175798,0.30521099578570743,1.3051258002117896,366.8882658962316,29.529714059471655,1.1092984401710945e-06,0.660564680880341,16.64174699837046,-0.014611758163238342,0.7916156470827644,39740666.284637764,271038287.0753342
0.0047745270966632275,0.7313897055879336,0.2422574820555655,290.32770899561683,26.451462388635044,4.064706435266165e-05,0.5536033924172143,8.118478349979938,0.37906490418792216,0.8057170086803213,19949875.198479,165873481.55573627
0.16894425528051774,0.6724870157444793,2.43495716407518,125.26621146860305,6.993549726146525,1.3907379321349394e-06,0.14723007490650958,8.286973075543537,1.0682108458448525e-05,0.7757944599639043,57901800.62837007,267132121.8528963
0.12379894626196349,0.621246659752057,2.8267566630968615,210.59334482365023,32.68114552100774,2.620741133559594e-06,0.9970811978745309,25.632615196237154,-0.023240202783944897,0.775473131219305,16865583.056343075,273343246.4169988
0.01016138179894419,0.692898359123102,1.029200813484317,134.8037371628481,23.910175465384658,1.6546851303878446e-06,0.3886101824018475,9.750447610695648,-0.0005169833206852825,0.7904877560044837,55092346.21217954,267273079.74426562
0.00840474523625818,0.16505042828652855,2.2525124004980244,259.8595742697462,26.826879612801143,7.899002716315781e-06,0.9398215845684863,14.25927363038003,0.8190737404408086,0.7812671056242625,1886854.180884428,48331731.89975277
0.011934157294731036,0.13363656224017623,2.488684904720268,397.36998503437013,22.178126301204443,9.000386843930636e-07,0.37813138780653155,23.890572629955194,-0.015403689598512571,0.7809761459968334,38920848.09513482,271249839.65993
0.020473432177451564,0.5940552202981304,2.9355711820207597,189.02871623644904,15.906486912794763,9.342309250939944e-05,0.5062048419241282,17.695283099052535,0.43333334852470096,0.7741025559543548,21471950.003458258,151376482.01189208
0.024647431861542952,0.5706698265515493,2.973620128491773,327.2283644047285,21.162056689995946,2.679254223168748e-07,0.8059858171578944,11.902010332397063,-5.833945433342258e-05,0.776153883962689,57461398.82360312,267150559.92638427
1.3473088435622331,0.333870918587466,0.0555362910707071,93.73405591767218,38.81204882139545,2.6486357871415204e-05,0.6236547200332402,26.61368169811452,0.5035653711482302,0.8068591476132803,15028278.351168098,132615052.37480634
0.004358997721984162,0.21931383403116045,0.9703291014410103,301.8795768752277,10.886899746631684,7.913888014054848e-07,0.604343848454373,7.446626364249312,-0.010861333521114291,0.794786232334312,36149091.346840434,270036417.48091793
0.6995125783641539,0.4433015703398094,0.9479895044787785,203.43437819595508,18.165888780113576,1.4634081964699321e-05,0.8768242664854587,15.442584275807913,0.6014012495856289,0.7935273664489726,5373948.063543796,106479667.3934774
0.0076311912590112,0.5067615201688289,1.0514779492193052,323.51203697899507,11.379504366394661,6.550470533889337e-05,0.33860548631778953,19.32402621639885,0.2484694795414355,0.7937102017100963,33522526.567344073,200760087.1083279
0.06648041257520547,0.054418479764743975,0.5153453506693486,391.79095069921027,28.573445888292873,2.234497569449291e-05,0.23075294521146938,13.205774729983622,0.23390063615496293,0.8027198024770069,40231494.335339285,204651934.72826838
0.014829311662554735,0.18992764963507602,2.2394303919913434,311.447892311383,2.8978027219873956,2.90214853825093e-06,0.7855169443058119,16.13282759900605,0.24457284531261625,0.781655587487869,12780064.826853206,201801014.39728346
0.583280457973271,0.46556318446896955,2.0664855788867516,97.83615731960343,28.068508540255742,2.195051211807827e-05,0.2556000828479828,10.209644761973404,0.038692008400322164,0.7790412925683106,41866683.84967665,256798986.7046599
0.1831514851783925,0.3422946753244369,0.19345243352980462,258.74088456114737,16.1942256309136,3.671257563910601e-05,0.199718639856166,18.781642895207447,0.09650657443853916,0.8069998526930633,44009336.1482005,241354694.02730784
0.04633083055267874,0.47959404209559436,0.0237189551124402,171.98255585337327,2.3991454674731054,1.4364844149672137e-06,0.6111682955980273,16.895064144521395,-0.003063885046020065,0.8087630658163043,45977153.43518745,267953446.27412164
0.03114720854619423,0.25942235704349165,1.8796505179867982,130.32567589585923,5.434418372445057,2.8361252570601096e-05,0.46445050644376307,7.665041376680343,0.34273727568348566,0.78146412421806,25109368.047651116,175577861.70322105
0.09401839345104979,0.781363558036862,2.2168500316792503,313.0590107342431,11.087810189940459,1.8571155153344036e-05,0.8164566138429449,21.760379479829286,0.41972156391940274,0.7809264451283795,9241057.312668895,155012665.75779676
0.5045912936847823,0.4194003459879323,2.5193585741306292,145.18281519155488,37.814222149986314,1.912576106532794e-05,0.8440937414061155,9.562374063163999,0.6589560701669717,0.776893640165059,5131837.881545887,91104761.81227419
1.2798934329742253,0.3635354291162294,1.835892173128239,41.183911866338576,13.702711803788432,4.9917797487536976e-05,0.4733247825878423,26.781570747982624,0.3723767341726745,0.7779439263972099,24502460.32577651,167660125.68838486
0.2153814421795893,0.5315878124873497,2.1702265498178304,318.2188348906138,13.070681551050674,5.8476885224886924e-05,0.5630544829761487,19.24565981713976,0.4694720122498708,0.7821803339668094,18005727.372254748,141722580.96600732
0.1418861509855642,0.4755604356554957,0.552834818793999,75.92118953598313,6.668185683371062,8.812202722858956e-05,0.5941462899101454,20.06727747203988,0.5234359843671694,0.7954615923132875,15536529.08770701,127306916.60106196
0.004142255523749226,0.22812075609672683,1.668479415741026,56.02382318567002,8.200000104434682,2.341606927512496e-06,0.6301480993727483,18.445131140992483,-0.02622851253776859,0.7805368436880957,26273466.010848958,274141528.46963596
