auc_V,peak_V,t_peak,auc_I,mean_R5_loss,mean_R4_loss,mean_S_ccr5,mean_trop_V5,max_A5,max_A4,max_B,max_C5,max_C4,min_T,F5_end,F5_start,auc_V_early,peak_V_early,t_peak_early,auc_I_early,I_day7,I_day10,run_id,scenario,t_half_A,T_A,E_V,false_R5_loss,tau_B,E_V_early,E_V_r5,false_R5,f_E,t_recovery_days
267134975.41767898,57913937.94887021,14.317897371714643,1536114.2991734603,0.0,1.9425429141751798e-16,,1.0,0.0,0.0,0.0,0.0,0.0,9051.779366318344,0.9779951100244498,0.9779951100244498,577291.7895574877,832561.4595787171,9.962453066332916,3527.646707686416,70.92161974920703,5464.570347500495,run0a_backbone,run0a_backbone,,,,,,,,,,
0.0,0.0,0.0,0.0,0.22036373017625324,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.9720985631431112,0.9779951100244498,0.0,0.0,0.0,0.0,0.0,0.0,run0b_ccr5_trafficking,run0b_ccr5_trafficking,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.16505528287931634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.9779951100244498,0.9779951100244498,0.0,0.0,0.0,0.0,0.0,0.0,run0c_cxcr4_trafficking,run0c_cxcr4_trafficking,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2921140007791232,0.0,0.0,0.0,0.0,1000000.0,0.9779951100244498,0.9779951100244498,0.0,0.0,0.0,0.0,0.0,0.0,run0d_A_memory,run0d_A_memory,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.9779951100244498,0.9779951100244498,0.0,0.0,0.0,0.0,0.0,0.0,run0e_and_gate,run0e_and_gate,,,,,,,,,,
267134975.41767898,57913937.94887021,14.317897371714643,1536114.2991734603,0.0,1.9425429141751798e-16,,1.0,0.0,0.0,0.0,0.0,0.0,9051.779366318344,0.9779951100244498,0.9779951100244498,577291.7895574877,832561.4595787171,9.962453066332916,3527.646707686416,70.92161974920703,5464.570347500495,run1_r5_control,run1_r5_control,,,,,,,,,,
146170589.44755334,5263073.321291783,19.27409261576971,841690.3646219571,0.6995298413352289,0.007437581090739403,0.9697864080955304,1.0,0.1409030835822429,0.019999999999999997,5.764475069898599,0.1456091143184177,0.0004787341998600894,454286.56941619795,0.26539250121069263,0.9779951100244498,575744.6278882861,824513.7355478418,9.962453066332916,3516.745745434855,70.9225225708222,5388.09359152546,run1_r5_circuit,run1_r5_circuit,,,,,,,,,,
267134975.41767922,57913937.94887019,14.317897371714643,1536114.2991734615,0.0,1.9425429141751798e-16,,0.0,0.0,0.0,0.0,0.0,0.0,9051.77936631838,0.9779951100244498,0.9779951100244498,577291.7895574878,832561.4595787176,9.962453066332916,3527.646707686416,70.92161974920703,5464.570347500495,run2_x4_control,run2_x4_control,,,,,,,,,,
192061040.81100893,7117572.849659509,19.374217772215268,1105885.5155926077,0.017300556885510847,0.6901431131926103,0.042019464540787504,0.0,0.019999999999999997,0.16453055927617494,5.767328374879414,0.0004787354790869766,0.24147875496730611,285174.86343157216,0.976939914340363,0.9779951100244498,575857.3792468286,825472.7166909287,9.962453066332916,3517.63871837827,70.9225229140712,5399.304972553514,run2_x4_circuit,run2_x4_circuit,,,,,,,,,,
40249585.38991119,1393778.6005038088,,,,0.7338166554746193,,,,,,,,,,,,,,,,,run3_0_0,run3_false_route,0.003472222222222222,0.1,0.8493286574437552,0.8015354045956423,,,,,,
40253339.601387165,1393784.861623405,,,,0.7337693639208342,,,,,,,,,,,,,,,,,run3_0_1,run3_false_route,0.008609017315039,0.1,0.849314603831082,0.8015339199993855,,,,,,
40262897.2330758,1393800.0160006562,,,,0.7336493511671829,,,,,,,,,,,,,,,,,run3_0_2,run3_false_route,0.021345171589624717,0.1,0.8492788255445671,0.801535096642121,,,,,,
40288312.422639,1393840.222833016,,,,0.7333465199955699,,,,,,,,,,,,,,,,,run3_0_3,run3_false_route,0.052923154120576674,0.1,0.8491836856643494,0.8015351283881833,,,,,,
40361115.474734865,1393953.7791764205,,,,0.7325900564530097,,,,,,,,,,,,,,,,,run3_0_4,run3_false_route,0.13121750885487043,0.1,0.8489111528296578,0.8015352715891598,,,,,,
40589202.20892935,1394336.3110299888,,,,0.7308450561847744,,,,,,,,,,,,,,,,,run3_0_5,run3_false_route,0.3253402960611446,0.1,0.8480573270292815,0.801535227960432,,,,,,
41310483.12020485,1396630.4104887326,,,,0.7274139897815525,,,,,,,,,,,,,,,,,run3_0_6,run3_false_route,0.8066477497162501,0.1,0.8453572653464272,0.801535303480034,,,,,,
43525551.379107125,1949178.651688443,,,,0.7209892890253412,,,,,,,,,,,,,,,,,run3_0_7,run3_false_route,2.0,0.1,0.8370653213378267,0.8015345313045458,,,,,,
95418484.72957188,3393467.087112819,,,,0.7177718642211738,,,,,,,,,,,,,,,,,run3_1_0,run3_false_route,0.003472222222222222,0.18571428571428572,0.6428079678432965,0.8015203559045083,,,,,,
95429037.19956647,3393478.474606585,,,,0.717683657671141,,,,,,,,,,,,,,,,,run3_1_1,run3_false_route,0.008609017315039,0.18571428571428572,0.6427684654532478,0.8015192855131399,,,,,,
95455059.77808529,3393508.808229757,,,,0.7174615998933819,,,,,,,,,,,,,,,,,run3_1_2,run3_false_route,0.021345171589624717,0.18571428571428572,0.6426710518574499,0.8015200850939148,,,,,,
95522392.29876594,3393590.0180637487,,,,0.7169120990161606,,,,,,,,,,,,,,,,,run3_1_3,run3_false_route,0.052923154120576674,0.18571428571428572,0.642418997552036,0.8015200911453331,,,,,,
95703465.06272107,3393840.882886309,,,,0.7155752873652018,,,,,,,,,,,,,,,,,run3_1_4,run3_false_route,0.13121750885487043,0.18571428571428572,0.6417411650680193,0.8015202139048621,,,,,,
96230380.55940261,3394856.1247698893,,,,0.7125769087859312,,,,,,,,,,,,,,,,,run3_1_5,run3_false_route,0.3253402960611446,0.18571428571428572,0.6397686959225707,0.8015201777829294,,,,,,
97827088.47900523,3403351.605560502,,,,0.7068769465829687,,,,,,,,,,,,,,,,,run3_1_6,run3_false_route,0.8066477497162501,0.18571428571428572,0.6337915380565664,0.8015201526887725,,,,,,
102531320.61781126,4759297.913772933,,,,0.697521612615092,,,,,,,,,,,,,,,,,run3_1_7,run3_false_route,2.0,0.18571428571428572,0.6161815933780357,0.8015160846621476,,,,,,
147468376.9337681,5354013.543301164,,,,0.7045979931274544,,,,,,,,,,,,,,,,,run3_2_0,run3_false_route,0.003472222222222222,0.27142857142857146,0.44796305050211516,0.8014824431881081,,,,,,
147482055.61704808,5354020.540683893,,,,0.7044911617701978,,,,,,,,,,,,,,,,,run3_2_1,run3_false_route,0.008609017315039,0.27142857142857146,0.44791184536411854,0.801480848598122,,,,,,
147516630.4613522,5354047.438920305,,,,0.704226291842293,,,,,,,,,,,,,,,,,run3_2_2,run3_false_route,0.021345171589624717,0.27142857142857146,0.44778241699462085,0.8014824035401122,,,,,,
147605773.04659447,5354127.282554967,,,,0.7035721844138884,,,,,,,,,,,,,,,,,run3_2_3,run3_false_route,0.052923154120576674,0.27142857142857146,0.4474487183274849,0.8014822916364965,,,,,,
147846681.7593918,5354430.653771598,,,,0.7019988269708175,,,,,,,,,,,,,,,,,run3_2_4,run3_false_route,0.13121750885487043,0.27142857142857146,0.4465468943996347,0.8014822799986027,,,,,,
148558014.7394316,5356117.283954446,,,,0.6985251734285175,,,,,,,,,,,,,,,,,run3_2_5,run3_false_route,0.3253402960611446,0.27142857142857146,0.4438840720607493,0.8014823093741861,,,,,,
150755132.45893857,5374552.8794506695,,,,0.6920052841666108,,,,,,,,,,,,,,,,,run3_2_6,run3_false_route,0.8066477497162501,0.27142857142857146,0.435659324567196,0.801482106817866,,,,,,
157240385.09264147,7530340.777453976,,,,0.6814763557985699,,,,,,,,,,,,,,,,,run3_2_7,run3_false_route,2.0,0.27142857142857146,0.41138226154479374,0.8014698747265794,,,,,,
195660765.28851685,7276220.710183529,,,,0.6905840761902159,,,,,,,,,,,,,,,,,run3_3_0,run3_false_route,0.003472222222222222,0.3571428571428571,0.2675584131857267,0.8014120251620479,,,,,,
195674492.43375197,7276220.405880007,,,,0.690467890164671,,,,,,,,,,,,,,,,,run3_3_1,run3_false_route,0.008609017315039,0.3571428571428571,0.2675070266339895,0.8014104232662408,,,,,,
