P5,P5_over_peak_infection_drive,mean_false_R5_loss,final_false_R5_loss
0.0,0.0,0.0,0.0
0.02,0.1593794986042982,0.017300556885510847,0.023674285753960578
0.05,0.3984487465107455,0.21515939450031332,0.2894592313655143
0.1,0.796897493021491,0.6464029923513502,0.8360557564228182
0.12548665402477702,1.0,0.7308869091689139,0.935366821514451
0.2,1.593794986042982,0.7871553399961593,0.9939601924955062
0.4,3.187589972085964,0.7989215745793709,0.9996401896415035
0.8,6.375179944171928,0.8011468081476,0.9998548647523368
1.2,9.562769916257892,0.8014194632957224,0.9998708497593156
